dir=0 x=0, y= 1 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 89
dir=0 x=1, y= 1 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 88
dir=1 x=1, y= 1 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 88
dir=0 x=1, y= 1 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 88
dir=3 x=2, y= 1 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 87
dir=0 x=2, y= 1 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 87
dir=0 x=3, y= 1 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 86
dir=1 x=3, y= 1 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 86
dir=1 x=3, y= 1 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 86
dir=0 x=3, y= 2 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 85
dir=1 x=3, y= 2 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 85
dir=1 x=3, y= 3 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 84
dir=2 x=3, y= 3 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 84
dir=1 x=3, y= 3 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 84
dir=0 x=3, y= 4 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 83
dir=1 x=3, y= 4 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 83
dir=1 x=3, y= 5 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 82
dir=2 x=3, y= 5 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 82
dir=1 x=3, y= 5 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 82
dir=0 x=3, y= 6 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 81
dir=0 x=4, y= 6 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 80
dir=0 x=5, y= 6 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 79
dir=1 x=5, y= 6 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 79
dir=0 x=5, y= 6 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 79
dir=3 x=6, y= 6 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 78
dir=0 x=6, y= 6 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 78
dir=0 x=6, y= 6 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 78
dir=1 x=6, y= 6 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 78
dir=0 x=6, y= 6 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 78
dir=3 x=7, y= 6 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 78
dir=0 x=7, y= 6 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 78
dir=0 x=8, y= 6 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 77
dir=1 x=8, y= 6 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 77
dir=0 x=8, y= 6 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 77
dir=3 x=9, y= 6 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 76
dir=0 x=9, y= 6 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 76
dir=0 x=10, y= 6 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 75
dir=1 x=10, y= 6 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 75
dir=0 x=10, y= 6 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 75
dir=3 x=11, y= 6 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 74
dir=0 x=11, y= 6 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 74
dir=0 x=12, y= 6 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 73
dir=1 x=12, y= 6 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 73
dir=1 x=12, y= 6 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 73
dir=0 x=12, y= 7 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 72
dir=1 x=12, y= 7 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 72
dir=1 x=12, y= 8 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 71
dir=2 x=12, y= 8 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 71
dir=1 x=12, y= 8 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 71
dir=0 x=12, y= 9 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 70
dir=1 x=12, y= 9 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 70
dir=1 x=12, y= 10 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 69
dir=2 x=12, y= 10 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 69
dir=1 x=12, y= 10 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 69
dir=0 x=12, y= 11 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 69
dir=1 x=12, y= 11 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 69
dir=1 x=12, y= 12 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 68
dir=2 x=12, y= 12 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 68
dir=1 x=12, y= 12 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 68
dir=0 x=12, y= 13 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 67
dir=1 x=12, y= 13 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 67
dir=1 x=12, y= 14 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 66
dir=2 x=12, y= 14 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 66
dir=1 x=12, y= 14 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 66
dir=0 x=12, y= 15 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 65
dir=1 x=12, y= 15 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 65
dir=1 x=12, y= 15 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 65
dir=2 x=12, y= 15 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 65
dir=1 x=12, y= 15 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 65
dir=0 x=12, y= 16 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 65
dir=1 x=12, y= 16 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 65
dir=1 x=12, y= 16 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 65
dir=2 x=12, y= 16 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 65
dir=1 x=12, y= 16 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 65
dir=0 x=12, y= 17 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 65
dir=1 x=12, y= 17 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 65
dir=1 x=12, y= 18 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 64
dir=2 x=12, y= 18 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 64
dir=1 x=12, y= 18 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 64
dir=0 x=12, y= 19 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 63
dir=1 x=12, y= 19 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 63
dir=1 x=12, y= 20 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 62
dir=2 x=12, y= 20 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 62
dir=1 x=12, y= 20 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 62
dir=0 x=12, y= 21 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 61
dir=1 x=12, y= 21 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 61
dir=1 x=12, y= 22 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 60
dir=2 x=12, y= 22 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 60
dir=1 x=12, y= 22 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 60
dir=0 x=12, y= 23 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 59
dir=1 x=12, y= 23 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 59
dir=1 x=12, y= 24 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 58
dir=2 x=12, y= 24 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 58
dir=1 x=12, y= 24 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 58
dir=0 x=12, y= 25 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 58
dir=1 x=12, y= 25 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 58
dir=1 x=12, y= 25 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 58
dir=2 x=12, y= 25 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 58
dir=2 x=12, y= 25 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 58
dir=1 x=11, y= 25 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 57
dir=2 x=11, y= 25 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 57
dir=2 x=10, y= 25 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 56
dir=3 x=10, y= 25 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 56
dir=2 x=10, y= 25 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 56
dir=1 x=9, y= 25 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 55
dir=2 x=9, y= 25 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 55
dir=2 x=8, y= 25 pc = 1 opcode = 0, ea1 = 1, ea2 = 1 food = 54
dir=3 x=8, y= 25 pc = 2 opcode = 0, ea1 = 3, ea2 = 0 food = 54
dir=2 x=8, y= 25 pc = 3 opcode = 1, ea1 = 2, ea2 = 0 food = 54
dir=1 x=7, y= 25 pc = 4 opcode = 0, ea1 = 2, ea2 = 1 food = 53
dir=2 x=7, y= 25 pc = 0 opcode = 0, ea1 = 2, ea2 = 3 food = 53
